"id","strat_name"
627,"Espinaso"
628,"Espiritu Santo"
629,"Etchegoin"
630,"Eugene"
631,"Eutaw"
632,"Evanston"
633,"Everton"
634,"Everts"
635,"Exshaw"
636,"Factory Shoals"
637,"Fairbank"
638,"Fairview"
639,"Fairview Valley"
640,"Fall River"
641,"Farisita"
642,"Favret"
643,"Fayetteville"
644,"Felch"
645,"Fenstermacher Wash"
646,"Fentress"
647,"Ferguson Mountain"
648,"Fern Creek"
649,"Fern Glen"
650,"Fernando"
651,"Ferris"
652,"Ferron Point"
653,"Fields Creek"
654,"Fillmore"
655,"Fisher Creek"
656,"Fisher"
657,"Fitch"
658,"Fitchville"
659,"Fite"
660,"Flagstaff"
661,"Flanner Beach"
662,"Flat Shoals Creek"
663,"Flaxville"
664,"Fleming"
665,"Florida Mountains"
667,"Flournoy"
668,"Flume"
669,"Fogelin Hill"
670,"Fond du Lac"
671,"Fontana"
672,"Foraker Limestone"
673,"Forbes"
675,"Foreknobs"
676,"Foreman"
677,"Forest Hill"
678,"Fort Ann"
679,"Fort Burnside"
680,"Fort Cassin"
681,"Fort Crittenden"
682,"Fort Dodge"
683,"Fort Hancock"
684,"Fort Lowell"
685,"Fort Payne"
686,"Fort Pena"
687,"Fort Pierce"
688,"Fort Rock"
689,"Fort Scott Limestone"
690,"Fort Terrett"
691,"Fort Thompson"
692,"Fort Union"
693,"Fort Worth"
694,"Fortress Mountain"
696,"Fortune"
697,"Fountain"
698,"Four Mile Dam"
699,"Fourmile Canyon"
700,"Fowkes"
701,"Fox Hills"
702,"Francestown"
703,"Francis"
704,"Franconia"
705,"Frankfort"
706,"Frederick"
707,"Fredericksburg"
708,"Freedom"
709,"Frenchville"
710,"Friars"
711,"Frio"
712,"Frisco"
713,"Frolona"
714,"Frontier"
715,"Fruitland"
716,"Fullerton"
717,"Funks"
718,"Furnace Creek"
719,"Gabbs"
720,"Galena"
721,"Galesburg Shale"
722,"Galisteo"
723,"Gallatin"
724,"Gallaway"
725,"Gambier Bay"
726,"Gaptank"
727,"Gardar"
728,"Garden Island"
729,"Garden Valley"
730,"Gardner Canyon"
731,"Gardnerville"
732,"Garnet Range"
733,"Gatesburg"
734,"Gatuna"
735,"Gaviota"
736,"Gazelle"
737,"Gene Canyon"
738,"Genesee"
739,"Genshaw"
740,"Georgetown"
741,"Gering"
742,"German Rancho"
743,"Gerster"
744,"Ghost Rocks"
745,"Gibson Jack"
746,"Gilboa"
747,"Gile Mountain"
748,"Gilman Canyon"
749,"Gilmore City"
750,"Girkin"
751,"Glasford"
752,"Glen Ellen"
753,"Glen Park Limestone"
754,"Glen Rose Limestone"
755,"Glen Township"
756,"Glenns Ferry"
757,"Glenwood"
758,"Gobbler"
759,"Goddard Shale"
760,"Golconda"
761,"Gold Bug"
762,"Golden Spike"
763,"Golden Valley"
764,"Goliad"
765,"Gonic"
766,"Goodland"
767,"Goose Egg"
768,"Gordo"
769,"Gorge"
770,"Gorman"
771,"Goshen"
772,"Goshoot"
773,"Gothic"
774,"Goughs Canyon"
775,"Gower"
776,"Graford"
777,"Grafton"
778,"Graham Ferry"
779,"Grainger"
780,"Grand Detour"
781,"Grand Pitch"
782,"Grand River"
783,"Grandfather Mountain"
784,"Graneros Shale"
